"day","animalsOnMap","foodOnMap","placesFreeFromAnimalCount","mostPoupularGenes","averageEnergy","averageLiveLength"
"1","1","2","1599","[4]","90.0","1.0"
"2","1","3","1599","[4]","80.0","2.0"
"3","1","4","1599","[4]","70.0","3.0"
"4","1","5","1599","[4]","60.0","4.0"
"5","1","6","1599","[4]","50.0","5.0"
"day","animalsOnMap","foodOnMap","placesFreeFromAnimalCount","mostPoupularGenes","averageEnergy","averageLiveLength"
"1","1","2","1599","[5]","49.0","1.0"
"2","1","3","1599","[5]","48.0","2.0"
"3","1","4","1599","[5]","47.0","3.0"
"4","1","5","1599","[5]","46.0","4.0"
"5","1","6","1599","[5]","45.0","5.0"
